SubscriptionID,CustomerID,PlanID,BillingCycle,Status,DiscountPercent,StartDate,RenewalDate,CancelDate,AutoRenew,PlanName,MonthlyPrice,AnnualContractValue
S000067,C005010,2,Monthly,Active,0.0,2023-02-15 20:17:58,2023-03-17 20:17:58,,No,Basic,59,708.0
S000068,C006321,3,Monthly,Active,5.0,2019-07-23 14:39:13,2019-08-22 14:39:13,,No,Professional,129,1470.6
S000069,C006314,8,Monthly,Active,10.0,2020-06-19 15:51:13,2020-07-19 15:51:13,,Yes,Growth,79,853.2
S000070,C002412,6,Yearly,Active,0.0,2023-12-14 23:55:38,2024-12-13 23:55:38,,Yes,Enterprise Plus,999,11988.0
S000071,C002761,2,Monthly,Paused,0.0,2018-05-05 13:16:42,2018-06-04 13:16:42,,Yes,Basic,59,708.0
S000072,C002691,5,Monthly,Trial,0.0,2019-12-21 11:19:26,2020-01-20 11:19:26,,No,Enterprise,499,5988.0
S000073,C004313,1,Monthly,Paused,10.0,2024-07-07 15:16:57,2024-08-06 15:16:57,,Yes,Starter,29,313.2
S000074,C002500,1,Monthly,Active,15.0,2018-03-04 05:42:49,2018-04-03 05:42:49,,Yes,Starter,29,295.8
S000075,C005348,1,Monthly,Active,15.0,2023-03-02 14:52:35,2023-04-01 14:52:35,,No,Starter,29,295.8
S000076,C009730,3,Monthly,Cancelled,0.0,2018-02-18 08:19:27,2018-03-20 08:19:27,2018-11-11 08:19:27,Yes,Professional,129,1548.0
S000077,C006202,4,Quarterly,Active,20.0,2023-01-16 20:14:01,2023-04-16 20:14:01,,Yes,Business,249,2390.4
S000078,C004484,7,Monthly,Active,0.0,2020-04-30 00:43:38,2020-05-30 00:43:38,,Yes,Startup,39,468.0
S000079,C001274,1,Monthly,Active,20.0,2023-03-02 13:52:17,2023-04-01 13:52:17,,Yes,Starter,29,278.4
S000080,C008106,3,Monthly,Active,10.0,2024-01-26 13:35:32,2024-02-25 13:35:32,,Yes,Professional,129,1393.2
S000081,C009091,3,Monthly,Active,10.0,2020-01-13 04:33:41,2020-02-12 04:33:41,,Yes,Professional,129,1393.2
S000082,C000099,1,Yearly,Active,10.0,2022-02-15 04:18:35,2023-02-15 04:18:35,,Yes,Starter,29,313.2
S000083,C000147,1,Quarterly,Active,10.0,2024-09-23 12:56:13,2024-12-22 12:56:13,,Yes,Starter,29,313.2
S000084,C002977,5,Yearly,Cancelled,5.0,2022-10-23 22:01:59,2023-10-23 22:01:59,2024-11-10 22:01:59,Yes,Enterprise,499,5688.6
S000085,C001030,4,Monthly,Cancelled,20.0,2018-12-30 02:45:38,2019-01-29 02:45:38,2020-05-12 02:45:38,No,Business,249,2390.4
S000086,C005384,1,Monthly,Active,20.0,2023-07-10 10:09:55,2023-08-09 10:09:55,,Yes,Starter,29,278.4
S000087,C007927,4,Monthly,Active,10.0,2023-06-23 04:02:28,2023-07-23 04:02:28,,Yes,Business,249,2689.2
S000088,C004454,5,Monthly,Active,0.0,2025-05-21 22:32:00,2025-06-20 22:32:00,,Yes,Enterprise,499,5988.0
S000089,C004930,4,Monthly,Cancelled,15.0,2022-08-07 09:04:05,2022-09-06 09:04:05,2022-12-02 09:04:05,Yes,Business,249,2539.8
S000090,C009352,1,Yearly,Active,0.0,2022-07-08 01:36:02,2023-07-08 01:36:02,,Yes,Starter,29,348.0
S000091,C008104,6,Quarterly,Active,0.0,2024-06-12 19:25:15,2024-09-10 19:25:15,,Yes,Enterprise Plus,999,11988.0
S000092,C003104,1,Monthly,Active,0.0,2022-12-13 16:16:06,2023-01-12 16:16:06,,Yes,Starter,29,348.0
S000093,C000514,7,Quarterly,Active,0.0,2023-04-30 12:31:18,2023-07-29 12:31:18,,Yes,Startup,39,468.0
S000094,C005788,2,Monthly,Cancelled,0.0,2023-10-31 22:05:46,2023-11-30 22:05:46,2024-06-20 22:05:46,No,Basic,59,708.0
S000095,C004639,3,Monthly,Cancelled,0.0,2024-06-18 03:50:39,2024-07-18 03:50:39,2025-07-18 03:50:39,Yes,Professional,129,1548.0
S000096,C004596,4,Monthly,Active,0.0,2025-04-17 19:51:56,2025-05-17 19:51:56,,No,Business,249,2988.0
S000097,C005147,2,Monthly,Active,0.0,2025-07-05 02:31:30,2025-08-04 02:31:30,,Yes,Basic,59,708.0
S000098,C001349,8,Monthly,Active,0.0,2020-10-11 21:47:01,2020-11-10 21:47:01,,No,Growth,79,948.0
S000099,C009984,7,Monthly,Active,0.0,2020-11-26 08:58:22,2020-12-26 08:58:22,,Yes,Startup,39,468.0
S000100,C005545,4,Quarterly,Active,15.0,2018-08-09 08:58:08,2018-11-07 08:58:08,,Yes,Business,249,2539.8
S000101,C009442,1,Monthly,Active,10.0,2021-04-23 04:28:58,2021-05-23 04:28:58,,Yes,Starter,29,313.2
S000102,C009520,2,Yearly,Active,0.0,2018-03-06 12:48:09,2019-03-06 12:48:09,,Yes,Basic,59,708.0
S000103,C004291,1,Yearly,Active,20.0,2025-01-10 19:47:33,2026-01-10 19:47:33,,Yes,Starter,29,278.4
S000104,C005693,2,Monthly,Active,5.0,2020-03-10 09:00:40,2020-04-09 09:00:40,,Yes,Basic,59,672.6
S000105,C001642,2,Monthly,Active,20.0,2023-11-20 05:10:21,2023-12-20 05:10:21,,Yes,Basic,59,566.4
S000106,C003612,5,Yearly,Paused,20.0,2024-09-18 10:53:36,2025-09-18 10:53:36,,Yes,Enterprise,499,4790.4
S000107,C002127,2,Quarterly,Paused,0.0,2018-07-10 22:08:25,2018-10-08 22:08:25,,Yes,Basic,59,708.0
S000108,C007174,1,Quarterly,Active,15.0,2025-01-20 20:00:54,2025-04-20 20:00:54,,Yes,Starter,29,295.8
S000109,C002883,5,Monthly,Active,20.0,2024-11-13 07:18:37,2024-12-13 07:18:37,,Yes,Enterprise,499,4790.4
S000110,C001455,4,Monthly,Active,0.0,2018-04-04 20:31:43,2018-05-04 20:31:43,,Yes,Business,249,2988.0
S000111,C007536,4,Monthly,Active,15.0,2023-07-27 00:15:23,2023-08-26 00:15:23,,Yes,Business,249,2539.8
S000112,C005968,9,Monthly,Active,10.0,2024-06-08 07:02:04,2024-07-08 07:02:04,,Yes,Scale,179,1933.2
S000113,C004221,1,Monthly,Active,10.0,2021-06-09 01:09:55,2021-07-09 01:09:55,,Yes,Starter,29,313.2
S000114,C002705,2,Monthly,Active,0.0,2025-08-11 09:32:45,2025-09-10 09:32:45,,No,Basic,59,708.0
S000115,C001444,3,Monthly,Trial,0.0,2023-11-06 21:09:05,2023-12-06 21:09:05,,Yes,Professional,129,1548.0
S000116,C001559,1,Monthly,Cancelled,0.0,2018-04-18 11:35:20,2018-05-18 11:35:20,2019-01-09 11:35:20,No,Starter,29,348.0
S000117,C001507,3,Monthly,Active,10.0,2018-02-11 05:28:25,2018-03-13 05:28:25,,Yes,Professional,129,1393.2
S000118,C000271,3,Monthly,Active,0.0,2025-03-14 03:07:03,2025-04-13 03:07:03,,Yes,Professional,129,1548.0
S000119,C001531,1,Monthly,Active,25.0,2019-11-18 11:43:02,2019-12-18 11:43:02,,Yes,Starter,29,261.0
S000120,C006948,2,Quarterly,Active,0.0,2022-02-04 20:16:04,2022-05-05 20:16:04,,No,Basic,59,708.0
S000121,C008142,8,Monthly,Cancelled,0.0,2022-11-13 05:06:41,2022-12-13 05:06:41,2024-04-20 05:06:41,Yes,Growth,79,948.0
S000122,C002372,7,Yearly,Active,15.0,2025-10-12 05:44:35,2026-10-12 05:44:35,,Yes,Startup,39,397.8
S000123,C001421,7,Monthly,Paused,15.0,2021-11-15 18:03:01,2021-12-15 18:03:01,,No,Startup,39,397.8
S000124,C009301,4,Quarterly,Active,10.0,2019-06-07 23:10:07,2019-09-05 23:10:07,,Yes,Business,249,2689.2
S000125,C002220,7,Monthly,Active,0.0,2020-11-09 20:46:50,2020-12-09 20:46:50,,Yes,Startup,39,468.0
S000126,C005715,4,Quarterly,Active,10.0,2018-04-08 19:19:08,2018-07-07 19:19:08,,Yes,Business,249,2689.2
S000127,C002498,1,Yearly,Active,10.0,2022-06-23 05:16:23,2023-06-23 05:16:23,,Yes,Starter,29,313.2
S000128,C005036,1,Monthly,Active,30.0,2018-10-25 18:40:59,2018-11-24 18:40:59,2019-02-02 18:40:59,Yes,Starter,29,243.6
S000129,C002954,4,Yearly,Trial,20.0,2025-06-27 23:48:22,2026-06-27 23:48:22,,Yes,Business,249,2390.4
S000130,C003050,4,Yearly,Active,10.0,2023-08-31 18:45:21,2024-08-30 18:45:21,,No,Business,249,2689.2
S000131,C000287,6,Monthly,Active,30.0,2019-03-12 15:05:16,2019-04-11 15:05:16,,No,Enterprise Plus,999,8391.6
S000132,C005171,2,Yearly,Active,0.0,2018-10-30 14:50:11,2019-10-30 14:50:11,,No,Basic,59,708.0
S000133,C005450,3,Monthly,Active,0.0,2024-07-12 02:31:33,2024-08-11 02:31:33,,Yes,Professional,129,1548.0
S000134,C001453,4,Monthly,Paused,0.0,2023-11-02 06:02:01,2023-12-02 06:02:01,,Yes,Business,249,2988.0
S000135,C008572,5,Monthly,Active,0.0,2020-06-10 20:33:23,2020-07-10 20:33:23,,No,Enterprise,499,5988.0
S000136,C004194,1,Monthly,Active,0.0,2020-11-18 19:26:55,2020-12-18 19:26:55,,Yes,Starter,29,348.0
S000137,C000243,1,Monthly,Trial,15.0,2019-10-31 05:38:19,2019-11-30 05:38:19,,Yes,Starter,29,295.8
S000138,C002015,8,Monthly,Active,5.0,2021-10-06 20:51:57,2021-11-05 20:51:57,,No,Growth,79,900.6
S000139,C008013,1,Monthly,Cancelled,0.0,2019-01-15 19:02:29,2019-02-14 19:02:29,2021-02-28 19:02:29,Yes,Starter,29,348.0
S000140,C002178,3,Monthly,Active,15.0,2021-09-17 20:39:13,2021-10-17 20:39:13,,Yes,Professional,129,1315.8
S000141,C003640,5,Yearly,Active,10.0,2018-03-09 03:36:57,2019-03-09 03:36:57,,Yes,Enterprise,499,5389.2
S000142,C000284,4,Monthly,Active,0.0,2020-02-22 06:08:14,2020-03-23 06:08:14,,Yes,Business,249,2988.0
S000143,C001715,2,Yearly,Active,0.0,2018-02-01 01:27:53,2019-02-01 01:27:53,,Yes,Basic,59,708.0
S000144,C008400,3,Monthly,Cancelled,0.0,2024-04-07 05:23:05,2024-05-07 05:23:05,2025-07-19 05:23:05,No,Professional,129,1548.0
S000145,C007824,7,Monthly,Active,0.0,2025-11-06 01:57:14,2025-12-06 01:57:14,,No,Startup,39,468.0
S000146,C005450,2,Yearly,Cancelled,15.0,2021-06-16 09:39:38,2022-06-16 09:39:38,2023-06-12 09:39:38,Yes,Basic,59,601.8
S000147,C003977,2,Monthly,Cancelled,10.0,2019-04-07 23:58:06,2019-05-07 23:58:06,2019-12-30 23:58:06,Yes,Basic,59,637.2
S000148,C009155,5,Monthly,Active,15.0,2025-06-28 09:30:59,2025-07-28 09:30:59,,Yes,Enterprise,499,5089.8
S000149,C002497,4,Yearly,Cancelled,15.0,2024-02-16 20:18:30,2025-02-15 20:18:30,2024-04-27 20:18:30,No,Business,249,2539.8
S000150,C001691,1,Yearly,Active,5.0,2025-08-04 15:59:13,2026-08-04 15:59:13,,Yes,Starter,29,330.6
S000151,C007302,1,Monthly,Active,25.0,2019-01-03 19:40:46,2019-02-02 19:40:46,,Yes,Starter,29,261.0
S000152,C008279,1,Monthly,Active,0.0,2020-04-01 07:23:44,2020-05-01 07:23:44,,Yes,Starter,29,348.0
S000153,C000413,4,Monthly,Active,0.0,2023-06-27 01:43:01,2023-07-27 01:43:01,,Yes,Business,249,2988.0
S000154,C008221,12,Yearly,Trial,5.0,2022-11-25 01:37:06,2023-11-25 01:37:06,,Yes,Legacy,199,2268.6
S000155,C003551,4,Quarterly,Cancelled,0.0,2025-04-19 15:06:35,2025-07-18 15:06:35,2025-07-07 15:06:35,Yes,Business,249,2988.0
S000156,C009427,2,Monthly,Active,0.0,2019-06-16 14:15:55,2019-07-16 14:15:55,,No,Basic,59,708.0
S000157,C003896,8,Monthly,Trial,15.0,2021-11-06 19:32:18,2021-12-06 19:32:18,,Yes,Growth,79,805.8
S000158,C002999,1,Monthly,Paused,0.0,2020-09-15 22:28:46,2020-10-15 22:28:46,,Yes,Starter,29,348.0
S000159,C002565,3,Monthly,Active,0.0,2024-02-09 04:16:58,2024-03-10 04:16:58,,Yes,Professional,129,1548.0
S000160,C007928,8,Yearly,Active,0.0,2021-05-17 02:09:01,2022-05-17 02:09:01,,Yes,Growth,79,948.0
S000161,C001851,2,Monthly,Active,15.0,2024-01-22 05:52:58,2024-02-21 05:52:58,,Yes,Basic,59,601.8
S000162,C002340,2,Monthly,Active,10.0,2024-02-05 16:06:12,2024-03-06 16:06:12,,Yes,Basic,59,637.2
S000163,C003473,2,Monthly,Active,15.0,2020-09-20 12:37:06,2020-10-20 12:37:06,,Yes,Basic,59,601.8
S000164,C005783,4,Monthly,Cancelled,15.0,2019-04-29 11:51:16,2019-05-29 11:51:16,2020-11-11 11:51:16,No,Business,249,2539.8
S000165,C002139,2,Yearly,Trial,0.0,2019-09-08 11:48:00,2020-09-07 11:48:00,,Yes,Basic,59,708.0
S000166,C001963,4,Monthly,Active,15.0,2025-09-28 16:04:17,2025-10-28 16:04:17,,Yes,Business,249,2539.8
S000167,C002518,1,Yearly,Cancelled,25.0,2018-11-21 14:51:34,2019-11-21 14:51:34,2020-03-03 14:51:34,Yes,Starter,29,261.0
S000168,C008941,5,Monthly,Trial,10.0,2018-02-03 13:34:03,2018-03-05 13:34:03,,Yes,Enterprise,499,5389.2
S000169,C006845,4,Yearly,Active,15.0,2022-07-25 10:29:36,2023-07-25 10:29:36,,Yes,Business,249,2539.8
S000170,C003124,2,Monthly,Active,0.0,2021-12-28 03:30:10,2022-01-27 03:30:10,,No,Basic,59,708.0
S000171,C004731,5,Monthly,Active,0.0,2023-07-05 02:33:49,2023-08-04 02:33:49,,Yes,Enterprise,499,5988.0
S000172,C003584,1,Monthly,Active,0.0,2023-12-08 02:49:02,2024-01-07 02:49:02,,Yes,Starter,29,348.0
S000173,C006921,1,Monthly,Active,5.0,2020-04-04 19:17:30,2020-05-04 19:17:30,,Yes,Starter,29,330.6
S000174,C002141,7,Monthly,Trial,0.0,2023-04-15 08:02:18,2023-05-15 08:02:18,,Yes,Startup,39,468.0
S000175,C009931,3,Monthly,Active,0.0,2018-12-26 00:32:22,2019-01-25 00:32:22,,Yes,Professional,129,1548.0
S000176,C002305,3,Monthly,Active,25.0,2024-03-18 12:47:03,2024-04-17 12:47:03,,No,Professional,129,1161.0
S000177,C003855,2,Yearly,Active,10.0,2025-10-03 22:44:36,2026-10-03 22:44:36,,Yes,Basic,59,637.2
S000178,C002100,2,Monthly,Active,20.0,2022-06-24 17:10:05,2022-07-24 17:10:05,,Yes,Basic,59,566.4
S000179,C008738,10,Monthly,Active,20.0,2024-07-02 04:47:29,2024-08-01 04:47:29,,Yes,Corporate,349,3350.4
S000180,C000248,2,Monthly,Active,0.0,2024-04-20 12:12:18,2024-05-20 12:12:18,,Yes,Basic,59,708.0
S000181,C005232,1,Yearly,Cancelled,5.0,2024-05-08 06:07:10,2025-05-08 06:07:10,2025-09-21 06:07:10,Yes,Starter,29,330.6
S000182,C003816,4,Quarterly,Trial,10.0,2019-04-13 00:33:15,2019-07-12 00:33:15,,Yes,Business,249,2689.2
S000183,C006731,8,Monthly,Active,0.0,2019-08-16 18:57:21,2019-09-15 18:57:21,,Yes,Growth,79,948.0
S000184,C009446,3,Monthly,Active,0.0,2024-02-10 06:21:47,2024-03-11 06:21:47,,No,Professional,129,1548.0
S000185,C006442,3,Yearly,Active,0.0,2018-06-02 23:36:39,2019-06-02 23:36:39,,Yes,Professional,129,1548.0
S000186,C001343,4,Monthly,Active,15.0,2022-12-18 18:51:03,2023-01-17 18:51:03,,Yes,Business,249,2539.8
S000187,C002803,2,Monthly,Trial,0.0,2024-11-08 07:50:03,2024-12-08 07:50:03,,Yes,Basic,59,708.0
S000188,C009398,4,Monthly,Active,0.0,2019-12-17 15:51:16,2020-01-16 15:51:16,,Yes,Business,249,2988.0
S000189,C005093,4,Monthly,Active,0.0,2023-03-28 06:34:13,2023-04-27 06:34:13,,Yes,Business,249,2988.0
S000190,C002191,3,Monthly,Active,15.0,2021-09-21 08:08:33,2021-10-21 08:08:33,,Yes,Professional,129,1315.8
S000191,C002807,5,Yearly,Active,10.0,2020-05-09 06:03:55,2021-05-09 06:03:55,,Yes,Enterprise,499,5389.2
S000192,C008159,2,Yearly,Active,0.0,2018-12-18 07:14:11,2019-12-18 07:14:11,,Yes,Basic,59,708.0
S000193,C009552,3,Yearly,Active,0.0,2024-01-08 05:09:21,2025-01-07 05:09:21,,Yes,Professional,129,1548.0
S000194,C005384,1,Yearly,Paused,0.0,2019-04-10 00:45:24,2020-04-09 00:45:24,,Yes,Starter,29,348.0
S000195,C008702,3,Yearly,Active,0.0,2024-12-28 19:04:01,2025-12-28 19:04:01,,Yes,Professional,129,1548.0
S000196,C009788,5,Yearly,Active,15.0,2022-09-28 01:19:36,2023-09-28 01:19:36,,No,Enterprise,499,5089.8
S000197,C008314,4,Monthly,Trial,5.0,2022-03-17 14:08:57,2022-04-16 14:08:57,,Yes,Business,249,2838.6
S000198,C004575,2,Monthly,Active,0.0,2019-04-19 12:55:41,2019-05-19 12:55:41,,Yes,Basic,59,708.0
S000199,C004773,1,Monthly,Active,5.0,2021-11-28 21:38:32,2021-12-28 21:38:32,,Yes,Starter,29,330.6
S000200,C009693,7,Monthly,Active,10.0,2021-05-26 00:41:56,2021-06-25 00:41:56,,Yes,Startup,39,421.2
S000201,C003480,3,Yearly,Active,15.0,2024-03-05 11:01:53,2025-03-05 11:01:53,,No,Professional,129,1315.8
S000202,C009697,7,Monthly,Trial,0.0,2021-03-29 01:56:57,2021-04-28 01:56:57,,No,Startup,39,468.0
S000203,C005432,4,Monthly,Active,0.0,2019-05-13 00:51:38,2019-06-12 00:51:38,,No,Business,249,2988.0
S000204,C007249,7,Monthly,Active,25.0,2023-12-15 08:01:50,2024-01-14 08:01:50,,Yes,Startup,39,351.0
S000205,C001917,4,Monthly,Active,0.0,2021-06-05 07:32:26,2021-07-05 07:32:26,,Yes,Business,249,2988.0
S000206,C001177,9,Monthly,Active,0.0,2022-09-14 23:39:14,2022-10-14 23:39:14,,Yes,Scale,179,2148.0
S000207,C005738,1,Quarterly,Active,20.0,2025-01-09 23:21:43,2025-04-09 23:21:43,,Yes,Starter,29,278.4
S000208,C007209,3,Monthly,Active,0.0,2018-11-27 09:38:19,2018-12-27 09:38:19,,No,Professional,129,1548.0
S000209,C007099,3,Monthly,Active,0.0,2022-10-18 23:10:54,2022-11-17 23:10:54,,Yes,Professional,129,1548.0
S000210,C007578,4,Monthly,Paused,10.0,2020-07-23 03:45:35,2020-08-22 03:45:35,,No,Business,249,2689.2
S000211,C009172,4,Monthly,Active,15.0,2018-06-14 17:51:15,2018-07-14 17:51:15,,No,Business,249,2539.8
S000212,C003244,1,Monthly,Active,0.0,2018-07-27 08:57:33,2018-08-26 08:57:33,,Yes,Starter,29,348.0
