RefundID,PaymentID,InvoiceID,CustomerID,RefundDate,RefundAmount,Reason,Status
R0000022,P0211282,I0235216,C009600,2020-10-30 12:38:21,12.04,Service Outage,Processed
R0000023,P0392656,I0436791,C007724,2022-03-02 17:51:40,96.75,Billing Error,Processed
R0000024,P0397582,I0442258,C008156,2024-08-21 18:02:03,89.48,Service Outage,Processed
R0000025,P0368466,I0409844,C005674,2020-08-05 01:52:29,53.35,Fraud,Processed
R0000026,P0396361,I0440937,C009696,2025-09-20 21:56:08,73.98,Service Outage,Processed
R0000027,P0372766,I0414641,C001978,2021-08-31 21:25:26,538.92,Fraud,Processed
R0000028,P0268246,I0298602,C009809,2024-04-20 08:51:53,66.14,Billing Error,Processed
R0000029,P0358093,I0398325,C005175,2025-04-22 13:39:30,20.66,Fraud,Processed
R0000030,P0239497,I0266640,C000024,2022-04-28 16:09:32,148.35,Subscription Cancellation,Processed
R0000031,P0034002,I0037833,C004131,2019-01-29 15:07:03,113.52,Service Outage,Processed
R0000032,P0021463,I0023895,C009683,2019-08-21 00:28:58,69.62,Service Outage,Processed
R0000033,P0390841,I0434771,C009569,2021-04-24 11:16:50,17.47,Billing Error,Processed
R0000034,P0116592,I0129880,C007166,2023-03-08 14:10:27,63.72,Service Outage,Processed
R0000035,P0260530,I0290095,C005958,2021-10-29 09:59:52,28.0,Customer Request,Processed
R0000036,P0257837,I0287068,C008864,2020-06-06 13:13:56,109.53,Fraud,Processed
R0000037,P0277037,I0308399,C003121,2023-08-10 13:39:13,268.92,Service Outage,Processed
R0000038,P0002451,I0002741,C002691,2024-12-19 11:19:26,247.74,Duplicate Payment,Processed
R0000039,P0271208,I0301905,C001762,2021-12-31 18:41:13,132.35,Fraud,Processed
R0000040,P0282139,I0314053,C009129,2024-07-13 12:50:11,1060.94,Service Outage,Processed
R0000041,P0097591,I0108609,C002487,2024-09-11 03:46:13,459.08,Customer Request,Processed
R0000042,P0341072,I0379372,C009783,2024-10-24 08:20:19,46.95,Fraud,Processed
R0000043,P0069278,I0077144,C008862,2019-10-26 19:30:11,279.13,Fraud,Processed
R0000044,P0089210,I0099262,C000371,2024-11-21 20:37:39,81.3,Subscription Cancellation,Processed
R0000045,P0140142,I0156150,C008237,2019-08-12 01:13:15,135.45,Service Outage,Processed
R0000046,P0122586,I0136521,C007208,2025-06-09 07:46:19,28.71,Customer Request,Processed
R0000047,P0160074,I0178240,C006848,2022-06-26 14:27:56,74.58,Subscription Cancellation,Processed
R0000048,P0149768,I0166853,C002687,2021-04-11 03:17:14,42.9,Duplicate Payment,Processed
R0000049,P0339574,I0377713,C002523,2024-07-21 11:10:55,33.35,Duplicate Payment,Processed
R0000050,P0306106,I0340590,C002823,2025-12-05 20:48:04,919.08,Service Outage,Processed
R0000051,P0114373,I0127428,C005641,2025-12-05 06:12:18,148.25,Billing Error,Processed
R0000052,P0279256,I0310843,C002332,2023-12-17 06:56:14,499.0,Billing Error,Processed
R0000053,P0099696,I0111004,C003235,2023-07-20 05:37:37,20.81,Fraud,Processed
R0000054,P0106226,I0118301,C000912,2025-10-27 20:40:25,21.39,Subscription Cancellation,Processed
R0000055,P0184399,I0205358,C007303,2020-02-08 03:42:21,64.9,Duplicate Payment,Processed
R0000056,P0262916,I0292765,C004030,2020-06-08 17:04:58,14.87,Customer Request,Processed
R0000057,P0291122,I0323953,C009104,2025-12-18 13:49:48,340.76,Fraud,Processed
R0000058,P0231241,I0257456,C007222,2023-04-07 19:14:08,257.72,Billing Error,Processed
R0000059,P0349616,I0388880,C000821,2025-06-01 19:54:47,25.52,Fraud,Processed
R0000060,P0077903,I0086718,C006042,2021-06-13 23:47:03,137.0,Fraud,Processed
R0000061,P0298599,I0332225,C000237,2026-02-07 18:11:04,103.84,Customer Request,Processed
R0000062,P0364209,I0405104,C003641,2021-07-02 13:12:20,60.37,Fraud,Processed
R0000063,P0082834,I0092168,C009656,2020-10-23 15:30:09,25.29,Billing Error,Processed
R0000064,P0345023,I0383778,C006943,2025-08-10 05:50:03,141.9,Duplicate Payment,Processed
R0000065,P0328723,I0365667,C009780,2022-07-30 10:41:00,16.78,Fraud,Processed
R0000066,P0281841,I0313721,C001150,2024-03-19 19:18:21,15.22,Billing Error,Processed
R0000067,P0170700,I0190094,C000022,2019-06-20 16:17:38,31.66,Billing Error,Processed
R0000068,P0245010,I0272789,C008781,2023-01-04 09:18:32,243.4,Subscription Cancellation,Processed
R0000069,P0156927,I0174772,C008935,2021-11-19 03:53:44,132.35,Subscription Cancellation,Processed
R0000070,P0392338,I0436451,C006504,2025-01-16 17:49:06,28.19,Service Outage,Processed
R0000071,P0421336,I0468630,C006786,2025-09-29 05:05:29,29.75,Billing Error,Processed
R0000072,P0219951,I0244811,C003114,2018-09-30 14:01:35,145.7,Customer Request,Processed
R0000073,P0123414,I0137441,C009768,2021-02-04 03:56:51,37.91,Fraud,Processed
R0000074,P0101668,I0113231,C006202,2021-09-29 10:24:59,63.72,Service Outage,Processed
R0000075,P0180723,I0201242,C006694,2023-01-02 19:39:06,134.81,Subscription Cancellation,Processed
R0000076,P0076334,I0084999,C003494,2022-09-18 19:16:35,20.93,Customer Request,Processed
R0000077,P0402251,I0447473,C002932,2024-08-13 03:54:01,64.9,Subscription Cancellation,Processed
R0000078,P0379588,I0422228,C006471,2023-11-09 00:40:38,55.16,Billing Error,Processed
R0000079,P0035862,I0039895,C008431,2019-11-19 07:18:09,34.32,Subscription Cancellation,Processed
R0000080,P0342282,I0380703,C008346,2022-10-24 21:25:11,196.9,Fraud,Processed
R0000081,P0164011,I0182607,C005579,2025-01-18 10:34:09,22.6,Billing Error,Processed
R0000082,P0069084,I0076937,C001811,2022-03-31 09:04:02,59.0,Fraud,Processed
R0000083,P0075699,I0084310,C007036,2022-12-28 05:24:55,185.32,Service Outage,Processed
R0000084,P0110854,I0123494,C003702,2020-08-16 19:16:51,242.03,Service Outage,Processed
R0000085,P0170212,I0189552,C007543,2025-12-19 08:20:57,128.68,Billing Error,Processed
R0000086,P0421674,I0469015,C002634,2026-01-01 22:31:25,54.16,Subscription Cancellation,Processed
R0000087,P0288393,I0320972,C006573,2020-09-28 14:50:59,45.4,Customer Request,Processed
R0000088,P0358426,I0398695,C001809,2021-04-24 17:30:08,9.27,Duplicate Payment,Processed
R0000089,P0264176,I0294157,C006208,2021-04-26 20:42:25,66.14,Subscription Cancellation,Processed
R0000090,P0153668,I0171131,C000084,2025-02-15 06:52:03,76.79,Fraud,Processed
R0000091,P0397923,I0442623,C002087,2025-09-03 12:54:05,58.73,Customer Request,Processed
R0000092,P0264187,I0294168,C006208,2022-03-15 20:42:25,60.53,Billing Error,Processed
R0000093,P0015352,I0017117,C005266,2023-08-14 22:30:39,46.02,Fraud,Processed
R0000094,P0011534,I0012867,C005024,2025-11-12 10:30:44,61.65,Customer Request,Processed
R0000095,P0293861,I0327021,C006167,2021-10-18 11:30:34,548.9,Duplicate Payment,Processed
R0000096,P0191016,I0212621,C008891,2023-10-10 00:18:31,62.66,Service Outage,Processed
R0000097,P0242803,I0270317,C001449,2022-11-02 16:45:13,538.92,Service Outage,Processed
R0000098,P0013746,I0015311,C006789,2024-08-29 10:11:18,152.22,Service Outage,Processed
R0000099,P0206762,I0230196,C005316,2022-09-30 10:51:37,80.27,Duplicate Payment,Processed
R0000100,P0171416,I0190869,C008121,2023-06-06 08:15:47,148.35,Duplicate Payment,Processed
R0000101,P0299019,I0332705,C009126,2023-12-01 23:11:33,27.42,Fraud,Processed
R0000102,P0366470,I0407641,C007422,2021-01-05 20:12:48,234.82,Service Outage,Processed
R0000103,P0297660,I0331200,C008834,2022-06-07 11:47:03,126.1,Duplicate Payment,Processed
R0000104,P0077749,I0086545,C007648,2021-02-20 11:28:15,135.45,Service Outage,Processed
R0000105,P0322525,I0358811,C006066,2022-02-03 11:28:46,141.9,Billing Error,Processed
R0000106,P0043780,I0048682,C009638,2025-03-06 13:09:21,23.34,Duplicate Payment,Processed
R0000107,P0265825,I0295938,C005243,2020-04-14 21:26:29,257.72,Service Outage,Processed
R0000108,P0336730,I0374531,C002706,2021-09-14 02:03:04,1048.95,Fraud,Processed
R0000109,P0373486,I0415463,C003037,2024-09-15 10:09:48,193.32,Duplicate Payment,Processed
R0000110,P0029663,I0033033,C004998,2024-06-23 09:10:57,134.16,Subscription Cancellation,Processed
R0000111,P0379902,I0422570,C005491,2024-09-14 23:28:08,31.68,Duplicate Payment,Processed
R0000112,P0024534,I0027318,C009587,2021-12-30 11:25:39,22.51,Service Outage,Processed
R0000113,P0436235,I0485188,C005489,2022-01-23 04:09:21,7.05,Customer Request,Processed
R0000114,P0176470,I0196561,C001893,2025-12-21 08:21:30,26.62,Subscription Cancellation,Processed
R0000115,P0229612,I0255612,C006067,2021-10-07 13:11:18,48.98,Subscription Cancellation,Processed
R0000116,P0374334,I0416412,C008136,2023-04-30 05:20:35,228.58,Fraud,Processed
R0000117,P0205178,I0228403,C002922,2023-07-29 19:06:58,44.6,Subscription Cancellation,Processed
R0000118,P0010607,I0011843,C002009,2025-10-07 19:07:30,55.16,Subscription Cancellation,Processed
R0000119,P0354735,I0394608,C001555,2022-02-08 06:51:07,63.72,Customer Request,Processed
R0000120,P0146589,I0163289,C001038,2025-07-31 03:58:21,26.56,Duplicate Payment,Processed
R0000121,P0136866,I0152481,C008350,2025-11-14 06:08:01,20.61,Fraud,Processed
R0000122,P0196996,I0219254,C003436,2023-12-29 08:09:31,18.53,Customer Request,Processed
R0000123,P0395229,I0439665,C002532,2021-03-13 23:45:28,68.69,Billing Error,Processed
R0000124,P0091688,I0102022,C004156,2024-10-14 23:07:05,51.24,Fraud,Processed
R0000125,P0297782,I0331335,C003121,2023-07-08 13:50:11,112.74,Duplicate Payment,Processed
R0000126,P0056854,I0063242,C007052,2025-03-04 14:32:31,119.48,Subscription Cancellation,Processed
R0000127,P0358621,I0398922,C002216,2024-12-03 17:29:48,10.31,Billing Error,Processed
R0000128,P0091502,I0101823,C002596,2022-02-11 02:34:30,163.88,Subscription Cancellation,Processed
R0000129,P0250642,I0279017,C002513,2022-01-29 18:22:24,1119.88,Subscription Cancellation,Processed
R0000130,P0237285,I0264210,C002245,2022-07-07 02:55:31,47.2,Duplicate Payment,Processed
R0000131,P0065470,I0072928,C006876,2021-07-21 04:41:24,152.22,Duplicate Payment,Processed
R0000132,P0263327,I0293206,C004501,2020-10-30 04:12:08,67.85,Duplicate Payment,Processed
R0000133,P0182523,I0203267,C002081,2023-02-21 16:38:29,573.85,Duplicate Payment,Processed
R0000134,P0060815,I0067692,C007870,2023-01-05 12:30:32,64.46,Duplicate Payment,Processed
R0000135,P0134515,I0149828,C006196,2020-06-06 17:45:01,26.9,Customer Request,Processed
R0000136,P0250920,I0279338,C003028,2020-06-09 05:15:50,45.84,Customer Request,Processed
R0000137,P0393013,I0437188,C007434,2023-10-07 10:58:30,240.18,Billing Error,Processed
R0000138,P0112824,I0125686,C000776,2024-10-24 02:55:39,213.18,Billing Error,Processed
R0000139,P0298523,I0332148,C000237,2019-10-04 18:11:04,51.34,Subscription Cancellation,Processed
R0000140,P0189628,I0211101,C009722,2024-01-17 15:17:13,18.96,Billing Error,Processed
R0000141,P0216984,I0241534,C009067,2022-02-07 19:46:48,246.51,Billing Error,Processed
R0000142,P0216056,I0240485,C004896,2021-10-07 07:42:56,273.9,Fraud,Processed
R0000143,P0043378,I0048247,C001645,2022-07-14 23:44:46,831.22,Customer Request,Processed
R0000144,P0416034,I0462770,C004849,2022-09-02 13:09:16,16.85,Duplicate Payment,Processed
R0000145,P0158514,I0176505,C000078,2022-09-21 06:41:40,59.0,Service Outage,Processed
R0000146,P0314707,I0350125,C000903,2022-10-19 05:15:36,113.52,Duplicate Payment,Processed
R0000147,P0034448,I0038328,C002403,2024-06-18 11:55:56,1094.99,Customer Request,Processed
R0000148,P0358634,I0398937,C008393,2025-07-14 07:58:56,25.52,Billing Error,Processed
R0000149,P0186316,I0207467,C000888,2021-03-11 07:50:32,8.87,Subscription Cancellation,Processed
R0000150,P0295523,I0328851,C001751,2024-08-05 16:29:49,51.93,Fraud,Processed
R0000151,P0429860,I0478102,C002776,2023-06-07 06:44:43,13.58,Billing Error,Processed
R0000152,P0388613,I0432288,C006608,2022-11-29 23:15:33,28.29,Fraud,Processed
R0000153,P0433676,I0482368,C006215,2024-11-04 16:49:45,25.85,Subscription Cancellation,Processed
R0000154,P0119222,I0132775,C004526,2024-10-31 14:09:52,153.48,Duplicate Payment,Processed
R0000155,P0270594,I0301216,C007929,2025-03-08 22:50:29,243.4,Duplicate Payment,Processed
R0000156,P0124722,I0138892,C009959,2022-01-16 07:28:24,479.24,Billing Error,Processed
R0000157,P0218921,I0243666,C003771,2023-02-22 19:34:52,42.51,Subscription Cancellation,Processed
R0000158,P0132245,I0147251,C005033,2025-04-01 06:12:38,66.14,Duplicate Payment,Processed
R0000159,P0271957,I0302725,C008893,2022-12-15 02:49:01,196.9,Fraud,Processed
R0000160,P0166127,I0184978,C007906,2021-06-28 08:21:30,141.9,Subscription Cancellation,Processed
R0000161,P0393768,I0438039,C009058,2023-11-01 11:42:23,361.22,Subscription Cancellation,Processed
R0000162,P0361509,I0402122,C005408,2021-10-25 14:07:42,5.08,Billing Error,Processed
R0000163,P0411807,I0458101,C009226,2024-02-28 17:34:11,48.89,Subscription Cancellation,Processed
R0000164,P0244766,I0272506,C003359,2025-08-01 16:49:01,38.61,Billing Error,Processed
R0000165,P0271641,I0302385,C002870,2019-03-20 21:53:38,74.54,Subscription Cancellation,Processed
R0000166,P0397316,I0441964,C009732,2025-02-01 05:07:07,24.5,Service Outage,Processed
R0000167,P0092309,I0102725,C006557,2024-04-07 12:38:08,139.32,Billing Error,Processed
R0000168,P0048220,I0053716,C004046,2022-02-23 14:37:25,167.37,Duplicate Payment,Processed
R0000169,P0061911,I0068920,C009174,2023-06-08 19:25:13,255.47,Duplicate Payment,Processed
R0000170,P0100639,I0112090,C001495,2019-11-04 17:08:37,44.85,Fraud,Processed
R0000171,P0014965,I0016670,C003566,2021-04-23 19:28:25,181.07,Billing Error,Processed
R0000172,P0223179,I0248415,C002496,2022-06-21 08:54:02,82.95,Service Outage,Processed
R0000173,P0344738,I0383455,C002539,2019-03-23 23:04:19,40.36,Fraud,Processed
R0000174,P0251572,I0280081,C004059,2023-04-27 06:00:59,261.45,Customer Request,Processed
R0000175,P0064298,I0071606,C000809,2019-10-02 16:04:20,26.62,Customer Request,Processed
R0000176,P0415007,I0461645,C003163,2025-02-09 20:25:46,9.46,Duplicate Payment,Processed
R0000177,P0188483,I0209848,C005101,2018-10-20 06:47:35,126.1,Billing Error,Processed
R0000178,P0184459,I0205423,C007303,2025-06-16 03:42:21,61.95,Service Outage,Processed
R0000179,P0118442,I0131911,C003073,2025-05-11 16:56:06,28.71,Service Outage,Processed
R0000180,P0347590,I0386597,C006131,2025-02-08 20:51:51,61.65,Duplicate Payment,Processed
R0000181,P0037160,I0041343,C008118,2025-02-03 02:29:23,66.11,Subscription Cancellation,Processed
R0000182,P0252958,I0281624,C007968,2019-02-27 05:08:58,296.42,Fraud,Processed
R0000183,P0433124,I0481766,C000218,2023-02-02 00:29:10,249.75,Billing Error,Processed
R0000184,P0227530,I0253257,C003598,2025-05-21 20:08:03,179.13,Billing Error,Processed
R0000185,P0256025,I0285079,C009309,2024-07-18 12:19:46,10.56,Billing Error,Processed
R0000186,P0279237,I0310825,C002332,2022-06-12 06:56:14,573.85,Duplicate Payment,Processed
R0000187,P0147208,I0163986,C006568,2020-08-12 16:23:27,63.72,Subscription Cancellation,Processed
R0000188,P0147384,I0164196,C002295,2022-01-08 15:49:52,48.81,Fraud,Processed
R0000189,P0385315,I0428588,C008088,2024-12-28 08:30:27,71.19,Fraud,Processed
R0000190,P0208656,I0232320,C009302,2025-05-25 18:44:13,141.9,Customer Request,Processed
R0000191,P0073788,I0082214,C000684,2024-03-23 09:22:02,4.0,Fraud,Processed
R0000192,P0094308,I0104982,C007306,2023-01-27 11:07:31,71.38,Service Outage,Processed
R0000193,P0232866,I0259282,C001446,2022-09-30 13:01:18,42.9,Duplicate Payment,Processed
R0000194,P0390721,I0434638,C003835,2025-02-26 10:25:26,148.35,Fraud,Processed
R0000195,P0291253,I0324102,C001721,2023-12-29 02:07:20,14.61,Duplicate Payment,Processed
R0000196,P0323146,I0359472,C002573,2026-01-21 22:19:52,104.49,Service Outage,Processed
R0000197,P0163310,I0181819,C004856,2025-09-21 00:17:23,99.43,Customer Request,Processed
R0000198,P0343176,I0381711,C002067,2022-01-16 06:07:48,194.91,Service Outage,Processed
R0000199,P0024679,I0027476,C002942,2018-03-14 18:40:04,23.95,Fraud,Processed
R0000200,P0361230,I0401801,C003524,2023-06-23 20:48:55,67.85,Duplicate Payment,Processed
R0000201,P0034951,I0038893,C002996,2024-07-21 00:37:50,16.69,Billing Error,Processed
R0000202,P0118980,I0132502,C002756,2020-08-15 22:03:14,18.31,Billing Error,Processed
R0000203,P0268161,I0298504,C004613,2024-11-20 05:54:28,22.83,Duplicate Payment,Processed
R0000204,P0210323,I0234147,C005737,2019-11-06 16:00:59,144.61,Duplicate Payment,Processed
R0000205,P0100032,I0111382,C003662,2025-08-17 20:56:11,63.72,Fraud,Processed
R0000206,P0117516,I0130889,C009219,2025-12-21 04:46:57,349.0,Service Outage,Processed
R0000207,P0410777,I0456982,C003562,2024-04-25 22:52:35,63.72,Duplicate Payment,Processed
R0000208,P0414465,I0461066,C002331,2024-12-02 03:01:55,42.12,Duplicate Payment,Processed
R0000209,P0434492,I0483263,C009230,2024-05-02 11:02:53,6.83,Service Outage,Processed
R0000210,P0131855,I0146818,C007887,2023-01-15 08:30:57,33.35,Service Outage,Processed
R0000211,P0031761,I0035369,C008871,2021-11-24 14:22:45,101.8,Billing Error,Processed
R0000212,P0079291,I0088263,C009444,2023-11-10 22:11:13,54.16,Duplicate Payment,Processed
R0000213,P0434139,I0482894,C001657,2024-04-12 04:14:43,53.49,Subscription Cancellation,Processed
R0000214,P0186177,I0207322,C004776,2025-01-28 13:32:35,273.9,Service Outage,Processed
R0000215,P0141266,I0157421,C007262,2023-11-15 08:36:44,3.92,Fraud,Processed
R0000216,P0346799,I0385733,C008284,2020-07-19 01:42:01,16.45,Duplicate Payment,Processed
R0000217,P0321537,I0357765,C005740,2025-03-23 11:51:01,33.35,Subscription Cancellation,Processed
R0000218,P0176993,I0197136,C008224,2025-09-03 15:10:14,14.72,Subscription Cancellation,Processed
R0000219,P0229990,I0256037,C003239,2023-04-16 10:38:45,98.94,Duplicate Payment,Processed
R0000220,P0090631,I0100861,C008065,2023-04-30 22:01:47,439.14,Service Outage,Processed
R0000221,P0034269,I0038134,C004168,2019-09-07 01:13:03,79.5,Service Outage,Processed
R0000222,P0138195,I0154008,C009413,2023-05-01 00:49:38,33.01,Billing Error,Processed
R0000223,P0432073,I0480579,C004126,2024-07-27 02:01:07,32.24,Service Outage,Processed
R0000224,P0322289,I0358573,C004932,2024-07-25 22:25:52,573.85,Fraud,Processed
R0000225,P0108366,I0120708,C005719,2024-12-24 12:07:21,85.32,Fraud,Processed
R0000226,P0053204,I0059159,C008313,2025-11-30 08:28:56,68.7,Subscription Cancellation,Processed
R0000227,P0392322,I0436434,C006504,2023-09-01 17:49:06,28.19,Service Outage,Processed
R0000228,P0155114,I0172756,C008245,2024-11-03 03:23:32,23.34,Customer Request,Processed
R0000229,P0308789,I0343606,C004857,2021-09-23 01:16:49,78.21,Subscription Cancellation,Processed
R0000230,P0313604,I0348930,C009624,2026-01-06 02:00:45,34.6,Service Outage,Processed
R0000231,P0186848,I0208040,C006849,2022-06-11 11:32:24,33.7,Fraud,Processed
R0000232,P0242336,I0269800,C003452,2020-05-11 15:49:03,1024.97,Billing Error,Processed
R0000233,P0062567,I0069658,C003881,2024-03-25 04:06:06,23.65,Duplicate Payment,Processed
R0000234,P0104668,I0116582,C004506,2024-09-24 13:06:35,36.86,Customer Request,Processed
R0000235,P0151561,I0168797,C005854,2025-06-01 10:59:45,30.25,Customer Request,Processed
R0000236,P0360478,I0400957,C009804,2025-03-08 15:44:40,286.35,Fraud,Processed
R0000237,P0345699,I0384525,C005231,2023-08-29 20:12:12,500.5,Subscription Cancellation,Processed
R0000238,P0334023,I0371551,C006493,2022-10-17 11:05:24,67.85,Duplicate Payment,Processed
R0000239,P0071808,I0079994,C002890,2022-06-13 05:27:31,458.08,Service Outage,Processed
R0000240,P0313716,I0349051,C000410,2023-06-25 14:46:40,37.54,Service Outage,Processed
R0000241,P0204102,I0227192,C005221,2022-02-15 17:35:38,293.82,Subscription Cancellation,Processed
R0000242,P0170074,I0189393,C006456,2023-01-14 07:18:07,573.85,Customer Request,Processed
R0000243,P0341616,I0379967,C000241,2022-07-14 06:03:28,178.76,Service Outage,Processed
R0000244,P0428012,I0476082,C005929,2021-08-20 22:24:47,42.9,Subscription Cancellation,Processed
R0000245,P0405560,I0451141,C007974,2024-06-18 17:50:48,1573.95,Duplicate Payment,Processed
R0000246,P0064494,I0071827,C001189,2025-10-12 23:20:28,30.8,Duplicate Payment,Processed
R0000247,P0205816,I0229117,C000739,2023-04-11 21:39:54,67.85,Billing Error,Processed
R0000248,P0310736,I0345786,C007861,2023-03-25 04:03:29,286.35,Subscription Cancellation,Processed
R0000249,P0082777,I0092098,C004394,2023-10-03 00:12:41,141.9,Customer Request,Processed
R0000250,P0309106,I0343966,C003018,2025-10-18 08:26:33,18.21,Fraud,Processed
R0000251,P0349281,I0388500,C006649,2021-04-27 16:25:28,341.15,Fraud,Processed
R0000252,P0373165,I0415104,C006085,2025-12-23 11:52:40,48.67,Customer Request,Processed
R0000253,P0279812,I0311472,C004274,2025-01-14 20:31:56,195.56,Fraud,Processed
R0000254,P0216492,I0240976,C007225,2022-02-22 01:09:18,211.67,Duplicate Payment,Processed
R0000255,P0157388,I0175266,C008304,2019-07-19 04:07:47,141.9,Service Outage,Processed
R0000256,P0201147,I0223884,C001027,2024-02-29 13:43:25,219.12,Customer Request,Processed
R0000257,P0126389,I0140718,C007067,2022-07-02 15:02:04,109.16,Duplicate Payment,Processed
R0000258,P0382529,I0425478,C000792,2024-04-02 18:57:14,77.22,Service Outage,Processed
R0000259,P0042127,I0046881,C007768,2022-02-13 15:54:02,29.52,Billing Error,Processed
R0000260,P0335202,I0372830,C007267,2023-01-26 12:28:54,48.53,Service Outage,Processed
R0000261,P0391508,I0435518,C006078,2020-07-09 01:31:38,18.88,Subscription Cancellation,Processed
R0000262,P0261781,I0291506,C008238,2024-06-12 08:11:20,29.35,Duplicate Payment,Processed
R0000263,P0407314,I0453112,C006243,2025-01-31 03:42:34,125.39,Service Outage,Processed
R0000264,P0438307,I0413512,C007534,2023-11-03 13:11:42,57.35,Customer Request,Processed
R0000265,P0193005,I0214821,C006748,2021-06-14 10:48:02,39.0,Billing Error,Processed
R0000266,P0236629,I0263457,C009144,2025-08-18 02:42:45,17.76,Billing Error,Processed
R0000267,P0401373,I0446503,C004977,2021-05-14 01:19:27,55.7,Customer Request,Processed
R0000268,P0371356,I0413072,C003174,2021-02-06 14:15:41,147.32,Billing Error,Processed
R0000269,P0397658,I0442343,C009212,2025-07-11 13:31:59,48.29,Duplicate Payment,Processed
R0000270,P0101574,I0113123,C001848,2025-01-25 20:44:31,229.08,Service Outage,Processed
R0000271,P0433512,I0482177,C006280,2019-06-05 00:25:29,133.52,Customer Request,Processed
R0000272,P0411497,I0457785,C005181,2025-05-16 12:42:50,500.5,Service Outage,Processed
R0000273,P0002232,I0002486,C006321,2023-09-06 14:39:13,134.81,Duplicate Payment,Processed
R0000274,P0071154,I0079254,C002785,2025-07-16 03:20:34,29.87,Fraud,Processed
R0000275,P0365588,I0406646,C008941,2022-07-18 20:49:28,28.01,Duplicate Payment,Processed
R0000276,P0172755,I0192368,C005318,2025-01-11 02:53:35,39.0,Subscription Cancellation,Processed
R0000277,P0059500,I0066191,C005204,2020-10-11 06:06:36,148.35,Fraud,Processed
R0000278,P0035109,I0039061,C005801,2024-05-13 02:30:48,27.94,Customer Request,Processed
R0000279,P0421534,I0468852,C001919,2025-03-29 01:34:16,268.92,Service Outage,Processed
R0000280,P0120269,I0133940,C004795,2021-11-11 14:42:08,118.42,Billing Error,Processed
R0000281,P0067562,I0075251,C007710,2024-11-18 00:57:54,627.57,Billing Error,Processed
R0000282,P0141242,I0157393,C001273,2024-01-12 06:24:32,24.85,Duplicate Payment,Processed
R0000283,P0080240,I0089306,C007857,2022-11-07 08:05:09,42.85,Duplicate Payment,Processed
R0000284,P0320067,I0356107,C003818,2020-04-14 04:32:33,30.7,Fraud,Processed
R0000285,P0110411,I0122997,C008292,2025-03-04 09:02:07,121.78,Fraud,Processed
R0000286,P0301034,I0334977,C003511,2024-09-23 13:51:28,57.35,Duplicate Payment,Processed
R0000287,P0281915,I0313802,C008750,2021-02-24 02:02:37,231.18,Subscription Cancellation,Processed
R0000288,P0112526,I0125358,C009149,2022-04-26 00:18:21,33.35,Fraud,Processed
R0000289,P0437805,I0486929,C005220,2024-05-17 19:11:27,190.1,Fraud,Processed
R0000290,P0091816,I0102159,C000769,2021-12-08 07:22:40,29.0,Service Outage,Processed
R0000291,P0140468,I0156526,C006351,2021-12-20 13:13:20,140.93,Billing Error,Processed
R0000292,P0089047,I0099086,C005888,2026-01-04 01:42:51,76.87,Billing Error,Processed
R0000293,P0249112,I0277346,C006348,2026-02-15 06:08:29,111.77,Service Outage,Processed
R0000294,P0068875,I0076709,C003757,2023-02-01 01:33:16,63.72,Customer Request,Processed
R0000295,P0042369,I0047140,C009973,2022-07-26 14:44:28,39.15,Billing Error,Processed
R0000296,P0360357,I0400819,C004702,2024-04-16 15:15:12,46.98,Billing Error,Processed
