TicketID,CustomerID,AgentID,Category,Priority,Status,CreatedDate,ResolvedDate,ResolutionHours,CustomerSatisfaction
T0000047,C000023,E01316,Security,Low,Closed,2023-09-10 16:20:30,2023-09-11 12:20:30,20.0,4
T0000048,C000025,E00782,Account,Low,Resolved,2025-06-08 21:07:11,2025-06-09 02:07:11,5.0,5
T0000049,C000025,E00497,Bug Report,Medium,Resolved,2019-12-11 23:08:12,2019-12-14 10:08:12,59.0,5
T0000050,C000026,E00521,Account,Medium,Resolved,2025-05-28 10:33:41,2025-06-03 14:33:41,148.0,2
T0000051,C000026,E00994,Billing,Medium,Resolved,2025-05-12 08:16:24,2025-05-16 06:16:24,94.0,3
T0000052,C000026,E00592,Performance,Medium,Pending,2025-05-05 20:24:52,2025-05-06 16:24:52,20.0,1
T0000053,C000026,E00039,Bug Report,Low,Resolved,2025-05-09 18:30:57,2025-05-14 15:30:57,117.0,1
T0000054,C000028,E00304,Technical,Medium,Pending,2025-10-05 03:31:45,2025-10-11 17:31:45,158.0,5
T0000055,C000029,E00782,Feature Request,Medium,Resolved,2023-11-09 22:16:57,2023-11-15 04:16:57,126.0,1
T0000056,C000029,E00211,Security,High,Pending,2023-11-25 04:33:06,2023-11-30 06:33:06,122.0,5
T0000057,C000030,E01235,Account,Medium,Resolved,2023-07-13 08:14:43,2023-07-23 07:14:43,239.0,1
T0000058,C000031,E00804,Performance,Low,Resolved,2019-04-06 06:11:15,2019-04-10 03:11:15,93.0,3
T0000059,C000031,E01007,Technical,Medium,Resolved,2021-07-29 03:55:58,2021-07-29 08:55:58,5.0,2
T0000060,C000031,E00039,Performance,Low,Resolved,2023-12-18 09:04:36,2023-12-22 21:04:36,108.0,3
T0000061,C000031,E00757,Technical,Low,Resolved,2025-12-15 08:58:20,2025-12-24 05:58:20,213.0,2
T0000062,C000032,E00548,Bug Report,Medium,Resolved,2024-06-04 16:35:33,2024-06-14 00:35:33,224.0,1
T0000063,C000032,E00952,Security,High,Closed,2021-01-31 23:08:39,2021-02-08 15:08:39,184.0,1
T0000064,C000033,E01338,Bug Report,Medium,Closed,2024-11-13 22:57:41,2024-11-14 07:57:41,9.0,1
T0000065,C000035,E00992,Performance,Low,Resolved,2025-11-25 10:24:03,2025-11-29 12:24:03,98.0,3
T0000066,C000036,E00545,Bug Report,Medium,Pending,2025-04-12 17:26:22,2025-04-17 22:26:22,125.0,4
T0000067,C000036,E00208,Bug Report,High,Resolved,2023-05-12 00:50:44,2023-05-20 10:50:44,202.0,1
T0000068,C000036,E00928,Performance,Low,Pending,2025-12-22 13:20:09,2026-01-01 05:20:09,232.0,3
T0000069,C000037,E00364,Bug Report,Critical,Open,2019-07-29 11:20:17,2019-07-30 18:20:17,31.0,3
T0000070,C000038,E00597,Billing,Low,Closed,2022-07-12 01:40:46,2022-07-19 16:40:46,183.0,3
T0000071,C000038,E00031,Technical,High,Pending,2022-12-24 21:55:44,2023-01-02 06:55:44,201.0,5
T0000072,C000039,E00753,Bug Report,Medium,Resolved,2025-12-20 20:58:21,2025-12-27 05:58:21,153.0,4
T0000073,C000039,E00299,Feature Request,Medium,Open,2024-11-05 02:57:37,2024-11-08 11:57:37,81.0,4
T0000074,C000040,E00859,Feature Request,Medium,Resolved,2025-10-04 16:05:31,2025-10-09 11:05:31,115.0,4
T0000075,C000042,E01304,Feature Request,Medium,Resolved,2024-05-16 13:25:27,2024-05-22 10:25:27,141.0,5
T0000076,C000042,E00288,Feature Request,Low,Resolved,2023-07-15 13:07:44,2023-07-15 19:07:44,6.0,1
T0000077,C000043,E00913,Technical,Medium,Open,2022-03-29 23:45:01,2022-04-08 08:45:01,225.0,4
T0000078,C000043,E01060,Billing,Critical,Open,2023-10-12 17:37:52,2023-10-18 11:37:52,138.0,5
T0000079,C000043,E00433,Security,Low,Open,2024-12-04 05:39:36,2024-12-07 12:39:36,79.0,5
T0000080,C000043,E00980,Feature Request,Medium,Resolved,2023-07-09 01:44:43,2023-07-13 20:44:43,115.0,4
T0000081,C000044,E00663,Bug Report,Medium,Resolved,2024-06-12 14:36:22,2024-06-20 23:36:22,201.0,5
T0000082,C000044,E01155,Bug Report,Medium,Open,2024-09-15 13:46:16,2024-09-24 13:46:16,216.0,5
T0000083,C000045,E00554,Billing,Medium,Closed,2019-02-18 17:00:36,2019-02-25 02:00:36,153.0,5
T0000084,C000045,E00290,Technical,Medium,Resolved,2023-05-10 16:09:05,2023-05-14 19:09:05,99.0,5
T0000085,C000045,E01331,Feature Request,Low,Closed,2025-08-27 15:19:01,2025-09-06 05:19:01,230.0,4
T0000086,C000045,E00212,Bug Report,High,Closed,2023-04-18 17:32:27,2023-04-20 19:32:27,50.0,5
T0000087,C000045,E00347,Bug Report,Medium,Resolved,2018-09-29 05:28:44,2018-10-04 00:28:44,115.0,5
T0000088,C000046,E00481,Performance,High,Resolved,2024-02-16 04:56:50,2024-02-26 01:56:50,237.0,5
T0000089,C000046,E00046,Bug Report,Low,Pending,2024-05-20 15:14:55,2024-05-28 04:14:55,181.0,4
T0000090,C000047,E00350,Security,Low,Open,2024-06-26 11:51:02,2024-07-02 07:51:02,140.0,2
T0000091,C000048,E00481,Feature Request,Low,Closed,2024-03-20 04:24:36,2024-03-24 21:24:36,113.0,1
T0000092,C000048,E00610,Feature Request,Low,Resolved,2022-12-24 02:52:46,2023-01-01 01:52:46,191.0,2
T0000093,C000048,E00878,Feature Request,High,Pending,2025-05-22 10:17:14,2025-05-28 00:17:14,134.0,3
T0000094,C000049,E00585,Feature Request,Low,Resolved,2025-09-04 09:46:49,2025-09-10 22:46:49,157.0,3
T0000095,C000049,E01313,Billing,Low,Closed,2023-11-23 17:38:53,2023-11-24 03:38:53,10.0,5
T0000096,C000049,E01135,Bug Report,Medium,Resolved,2023-01-20 12:40:48,2023-01-26 21:40:48,153.0,2
T0000097,C000050,E00992,Technical,Medium,Closed,2024-03-13 05:56:09,2024-03-16 09:56:09,76.0,1
T0000098,C000051,E00782,Billing,Medium,Closed,2024-12-24 00:45:32,2024-12-30 12:45:32,156.0,4
T0000099,C000051,E00492,Feature Request,Medium,Open,2025-08-28 05:59:38,2025-09-05 08:59:38,195.0,5
T0000100,C000051,E01219,Account,Medium,Closed,2025-01-01 20:35:18,2025-01-08 15:35:18,163.0,3
T0000101,C000052,E00951,Account,Medium,Open,2025-03-30 18:26:48,2025-04-09 15:26:48,237.0,4
T0000102,C000052,E00258,Technical,Low,Resolved,2025-08-29 13:37:31,2025-09-03 20:37:31,127.0,4
T0000103,C000052,E00648,Feature Request,High,Open,2024-11-30 04:05:26,2024-12-01 01:05:26,21.0,4
T0000104,C000053,E00049,Billing,High,Open,2024-10-21 04:23:24,2024-10-30 12:23:24,224.0,4
T0000105,C000054,E00725,Security,Low,Open,2022-02-17 06:11:29,2022-02-26 06:11:29,216.0,4
T0000106,C000054,E00913,Feature Request,Low,Open,2025-05-05 18:45:03,2025-05-10 05:45:03,107.0,5
T0000107,C000055,E01269,Performance,Low,Resolved,2025-08-19 05:08:38,2025-08-27 06:08:38,193.0,4
T0000108,C000056,E00794,Security,Low,Open,2025-03-16 08:54:18,2025-03-22 08:54:18,144.0,5
T0000109,C000057,E01044,Account,High,Resolved,2025-04-27 02:53:08,2025-04-28 20:53:08,42.0,4
T0000110,C000057,E00574,Feature Request,Medium,Resolved,2025-02-23 01:37:49,2025-02-26 19:37:49,90.0,2
T0000111,C000057,E01046,Technical,Low,Resolved,2024-08-11 11:57:00,2024-08-13 07:57:00,44.0,4
T0000112,C000058,E01283,Feature Request,Medium,Resolved,2022-01-29 06:50:00,2022-02-07 13:50:00,223.0,4
T0000113,C000058,E00256,Performance,High,Resolved,2023-02-12 19:22:29,2023-02-18 11:22:29,136.0,3
T0000114,C000059,E01140,Feature Request,Medium,Closed,2024-06-26 21:18:18,2024-07-06 07:18:18,226.0,1
T0000115,C000059,E01173,Account,High,Open,2021-08-07 16:45:38,2021-08-08 00:45:38,8.0,4
T0000116,C000059,E00304,Feature Request,Medium,Open,2024-12-25 05:18:15,2024-12-29 19:18:15,110.0,4
T0000117,C000059,E00940,Feature Request,Medium,Resolved,2023-08-01 20:43:49,2023-08-10 07:43:49,203.0,1
T0000118,C000061,E00873,Performance,Medium,Closed,2024-01-29 06:00:55,2024-02-02 14:00:55,104.0,1
T0000119,C000061,E01155,Bug Report,Low,Resolved,2023-05-09 20:25:40,2023-05-12 17:25:40,69.0,4
T0000120,C000062,E00256,Bug Report,Medium,Resolved,2025-11-18 19:31:15,2025-11-19 03:31:15,8.0,1
T0000121,C000062,E00383,Technical,Medium,Resolved,2025-12-25 15:02:43,2025-12-31 12:02:43,141.0,3
T0000122,C000062,E01006,Billing,Low,Resolved,2025-12-22 14:24:30,2025-12-27 13:24:30,119.0,4
T0000123,C000062,E01002,Feature Request,High,Closed,2025-12-14 18:54:11,2025-12-21 23:54:11,173.0,1
T0000124,C000064,E00004,Bug Report,Medium,Closed,2025-10-21 19:24:32,2025-10-24 17:24:32,70.0,5
T0000125,C000064,E00794,Security,Low,Resolved,2025-12-14 02:34:44,2025-12-19 00:34:44,118.0,2
T0000126,C000064,E00887,Bug Report,Medium,Resolved,2025-11-07 02:51:05,2025-11-12 13:51:05,131.0,3
T0000127,C000064,E01218,Feature Request,High,Closed,2025-09-18 11:03:12,2025-09-28 07:03:12,236.0,4
T0000128,C000065,E01269,Technical,High,Resolved,2024-08-19 19:27:18,2024-08-21 17:27:18,46.0,4
T0000129,C000065,E00554,Security,High,Closed,2023-01-28 03:53:06,2023-01-28 22:53:06,19.0,3
T0000130,C000066,E00194,Performance,Medium,Resolved,2023-11-12 13:35:20,2023-11-15 17:35:20,76.0,3
T0000131,C000066,E00259,Technical,Medium,Resolved,2024-03-09 11:56:20,2024-03-17 08:56:20,189.0,3
T0000132,C000067,E00358,Technical,Medium,Resolved,2025-06-12 20:57:40,2025-06-17 23:57:40,123.0,2
T0000133,C000067,E00592,Technical,Low,Closed,2025-11-05 17:36:32,2025-11-12 08:36:32,159.0,4
T0000134,C000067,E00542,Security,Medium,Open,2025-07-25 22:08:26,2025-07-27 16:08:26,42.0,5
T0000135,C000068,E00177,Billing,Medium,Resolved,2024-01-16 11:17:57,2024-01-18 13:17:57,50.0,4
T0000136,C000068,E01143,Feature Request,Medium,Open,2023-09-29 23:32:06,2023-10-03 22:32:06,95.0,5
T0000137,C000068,E00840,Security,High,Open,2024-02-19 04:18:17,2024-02-27 00:18:17,188.0,3
T0000138,C000068,E00055,Performance,High,Pending,2024-02-06 05:48:31,2024-02-13 08:48:31,171.0,3
T0000139,C000068,E00347,Bug Report,Low,Closed,2024-03-15 11:00:41,2024-03-19 15:00:41,100.0,4
T0000140,C000069,E00798,Account,High,Resolved,2020-01-27 01:49:30,2020-02-02 22:49:30,165.0,3
T0000141,C000070,E00710,Feature Request,Low,Open,2025-12-05 11:12:15,2025-12-07 02:12:15,39.0,2
T0000142,C000070,E00115,Feature Request,Medium,Resolved,2025-11-30 09:30:15,2025-12-05 08:30:15,119.0,1
T0000143,C000071,E01092,Account,Medium,Resolved,2020-11-01 17:13:39,2020-11-02 23:13:39,30.0,3
T0000144,C000071,E00316,Performance,Medium,Open,2025-04-13 18:26:46,2025-04-13 19:26:46,1.0,5
T0000145,C000071,E00798,Performance,Medium,Open,2023-03-15 12:29:54,2023-03-21 05:29:54,137.0,1
T0000146,C000072,E00660,Security,Low,Resolved,2025-08-03 15:38:58,2025-08-05 03:38:58,36.0,1
T0000147,C000072,E01153,Account,Low,Pending,2024-06-22 13:19:27,2024-06-25 12:19:27,71.0,5
T0000148,C000073,E01171,Security,Medium,Resolved,2025-11-30 17:40:52,2025-12-04 10:40:52,89.0,1
T0000149,C000074,E00031,Billing,Low,Resolved,2025-06-02 02:56:38,2025-06-04 00:56:38,46.0,3
T0000150,C000074,E01044,Technical,Low,Closed,2021-07-24 02:19:22,2021-08-01 17:19:22,207.0,4
T0000151,C000074,E00817,Account,Medium,Resolved,2023-03-24 22:13:22,2023-03-26 04:13:22,30.0,4
T0000152,C000075,E00082,Bug Report,Critical,Closed,2025-11-29 16:07:29,2025-12-06 00:07:29,152.0,1
T0000153,C000075,E00866,Security,Critical,Resolved,2025-06-09 15:05:43,2025-06-16 22:05:43,175.0,5
T0000154,C000076,E00009,Performance,Low,Resolved,2025-09-07 18:42:23,2025-09-12 06:42:23,108.0,1
T0000155,C000076,E00259,Bug Report,Medium,Closed,2025-09-16 11:15:47,2025-09-19 23:15:47,84.0,2
T0000156,C000076,E00560,Feature Request,Medium,Open,2025-10-24 03:35:48,2025-11-01 08:35:48,197.0,3
T0000157,C000077,E01126,Bug Report,Medium,Resolved,2024-12-20 11:10:47,2024-12-21 02:10:47,15.0,3
T0000158,C000078,E00597,Technical,High,Closed,2022-06-16 01:42:40,2022-06-24 21:42:40,212.0,2
T0000159,C000078,E01219,Performance,Medium,Resolved,2024-10-20 17:16:10,2024-10-28 23:16:10,198.0,1
T0000160,C000078,E00102,Billing,High,Pending,2025-01-03 20:38:22,2025-01-04 21:38:22,25.0,1
T0000161,C000078,E00799,Performance,High,Resolved,2025-09-28 05:02:13,2025-10-06 22:02:13,209.0,3
T0000162,C000078,E00177,Feature Request,High,Resolved,2025-02-17 17:37:06,2025-02-27 05:37:06,228.0,4
T0000163,C000078,E01109,Billing,High,Pending,2021-11-22 12:06:03,2021-11-27 18:06:03,126.0,4
T0000164,C000079,E01260,Bug Report,Low,Resolved,2021-04-12 08:19:13,2021-04-20 01:19:13,185.0,1
T0000165,C000079,E01046,Security,Medium,Resolved,2019-03-14 10:08:38,2019-03-14 19:08:38,9.0,1
T0000166,C000079,E00201,Bug Report,Low,Resolved,2019-04-01 11:44:39,2019-04-06 20:44:39,129.0,5
T0000167,C000080,E00031,Performance,Medium,Resolved,2025-11-16 15:03:51,2025-11-19 18:03:51,75.0,4
T0000168,C000080,E00177,Account,Low,Resolved,2024-10-12 23:09:00,2024-10-22 16:09:00,233.0,3
T0000169,C000080,E00009,Security,Medium,Closed,2025-02-16 10:07:46,2025-02-18 04:07:46,42.0,2
T0000170,C000081,E01093,Feature Request,Medium,Open,2023-01-01 17:58:04,2023-01-04 22:58:04,77.0,1
T0000171,C000083,E00548,Feature Request,Low,Closed,2022-03-06 01:14:51,2022-03-06 02:14:51,1.0,5
T0000172,C000083,E00299,Technical,Medium,Resolved,2021-07-01 02:57:06,2021-07-05 11:57:06,105.0,4
T0000173,C000083,E00299,Technical,Low,Open,2024-11-10 11:49:02,2024-11-16 21:49:02,154.0,2
T0000174,C000084,E00940,Billing,Low,Closed,2025-03-16 02:36:47,2025-03-16 17:36:47,15.0,2
T0000175,C000084,E01154,Technical,Medium,Resolved,2025-10-23 06:32:36,2025-10-23 20:32:36,14.0,3
T0000176,C000085,E00256,Technical,Medium,Resolved,2021-05-30 02:42:15,2021-06-07 04:42:15,194.0,3
T0000177,C000085,E01235,Feature Request,Medium,Resolved,2025-11-19 14:57:55,2025-11-24 22:57:55,128.0,1
T0000178,C000085,E00364,Technical,Medium,Resolved,2021-11-03 17:43:56,2021-11-07 16:43:56,95.0,5
T0000179,C000085,E00647,Billing,High,Resolved,2023-10-29 22:44:43,2023-10-30 21:44:43,23.0,1
T0000180,C000086,E01260,Performance,Low,Closed,2025-10-31 12:38:14,2025-11-05 20:38:14,128.0,4
T0000181,C000087,E01338,Performance,Low,Closed,2025-07-20 19:51:43,2025-07-23 04:51:43,57.0,1
T0000182,C000087,E00147,Performance,High,Closed,2024-05-28 07:03:35,2024-06-04 01:03:35,162.0,2
T0000183,C000087,E00929,Bug Report,Medium,Resolved,2024-04-22 02:50:39,2024-04-24 04:50:39,50.0,2
T0000184,C000087,E00094,Technical,Medium,Pending,2024-02-29 09:05:49,2024-03-09 23:05:49,230.0,1
T0000185,C000087,E00687,Billing,Medium,Resolved,2025-07-11 14:56:51,2025-07-20 14:56:51,216.0,4
T0000186,C000088,E00211,Performance,Low,Resolved,2024-06-25 12:32:25,2024-06-27 11:32:25,47.0,3
T0000187,C000088,E00285,Feature Request,Medium,Open,2023-09-14 17:29:08,2023-09-17 09:29:08,64.0,2
T0000188,C000088,E01331,Security,High,Open,2024-11-30 04:40:43,2024-12-02 07:40:43,51.0,5
T0000189,C000088,E00733,Performance,Medium,Closed,2023-10-14 21:02:38,2023-10-24 05:02:38,224.0,1
T0000190,C000088,E01046,Billing,Critical,Closed,2024-02-05 01:12:46,2024-02-05 12:12:46,11.0,2
T0000191,C000090,E00256,Feature Request,Medium,Pending,2025-08-14 22:12:41,2025-08-17 16:12:41,66.0,3
T0000192,C000091,E00327,Technical,Medium,Resolved,2024-11-18 20:15:03,2024-11-27 22:15:03,218.0,1
T0000193,C000091,E00478,Performance,Low,Pending,2024-12-09 23:30:58,2024-12-16 00:30:58,145.0,5
T0000194,C000091,E01155,Account,Medium,Open,2025-03-10 04:03:08,2025-03-19 11:03:08,223.0,1
T0000195,C000091,E00303,Performance,High,Pending,2024-11-10 04:46:51,2024-11-14 15:46:51,107.0,4
T0000196,C000092,E00660,Account,Medium,Resolved,2023-07-07 19:56:45,2023-07-09 07:56:45,36.0,3
T0000197,C000093,E00980,Bug Report,Low,Closed,2025-02-08 18:11:34,2025-02-15 06:11:34,156.0,5
T0000198,C000093,E00992,Technical,Critical,Resolved,2024-05-22 11:41:13,2024-05-23 07:41:13,20.0,2
T0000199,C000093,E00485,Feature Request,Medium,Resolved,2022-05-24 16:04:05,2022-05-25 02:04:05,10.0,1
T0000200,C000094,E00383,Bug Report,High,Resolved,2025-12-26 22:14:50,2026-01-01 02:14:50,124.0,3
T0000201,C000095,E00928,Billing,Low,Resolved,2023-05-03 08:42:15,2023-05-07 00:42:15,88.0,3
T0000202,C000095,E00115,Bug Report,Medium,Resolved,2020-05-12 14:48:51,2020-05-17 21:48:51,127.0,5
T0000203,C000096,E01135,Account,Medium,Resolved,2021-09-11 18:16:08,2021-09-16 23:16:08,125.0,4
T0000204,C000096,E00817,Feature Request,High,Resolved,2025-06-26 14:03:08,2025-06-29 05:03:08,63.0,3
T0000205,C000096,E00221,Bug Report,Critical,Resolved,2024-03-28 06:08:49,2024-04-04 00:08:49,162.0,1
T0000206,C000097,E00364,Bug Report,Medium,Resolved,2025-06-17 20:14:12,2025-06-21 00:14:12,76.0,2
T0000207,C000098,E00304,Account,High,Resolved,2025-05-24 08:38:04,2025-05-25 19:38:04,35.0,4
T0000208,C000098,E01336,Feature Request,Medium,Resolved,2022-12-25 20:18:59,2023-01-04 13:18:59,233.0,1
T0000209,C000098,E01140,Security,Medium,Resolved,2020-07-25 00:52:31,2020-07-30 21:52:31,141.0,2
T0000210,C000099,E00766,Account,Critical,Open,2024-10-30 00:43:41,2024-10-30 08:43:41,8.0,3
T0000211,C000101,E00781,Performance,High,Closed,2020-07-07 06:36:18,2020-07-14 09:36:18,171.0,4
T0000212,C000102,E00426,Account,Medium,Resolved,2025-10-22 05:55:15,2025-10-25 04:55:15,71.0,4
T0000213,C000103,E00362,Feature Request,Low,Resolved,2022-07-07 18:25:50,2022-07-10 11:25:50,65.0,3
T0000214,C000103,E00162,Billing,Medium,Closed,2021-07-12 10:22:43,2021-07-19 03:22:43,161.0,1
T0000215,C000103,E01060,Feature Request,High,Resolved,2020-12-09 08:18:14,2020-12-18 12:18:14,220.0,2
T0000216,C000103,E00356,Bug Report,Low,Resolved,2025-05-29 14:06:45,2025-06-02 22:06:45,104.0,3
T0000217,C000104,E00066,Account,Low,Resolved,2025-06-24 08:19:59,2025-06-27 00:19:59,64.0,1
T0000218,C000105,E01060,Feature Request,Low,Resolved,2020-03-16 14:53:22,2020-03-24 18:53:22,196.0,2
T0000219,C000106,E00452,Feature Request,High,Resolved,2023-05-12 08:36:12,2023-05-20 16:36:12,200.0,3
T0000220,C000107,E00177,Bug Report,Medium,Resolved,2025-12-11 00:32:38,2025-12-19 12:32:38,204.0,3
T0000221,C000107,E00544,Technical,Low,Closed,2025-04-18 12:19:20,2025-04-27 14:19:20,218.0,3
T0000222,C000107,E01192,Bug Report,Critical,Open,2025-06-08 03:04:20,2025-06-11 08:04:20,77.0,2
T0000223,C000107,E00911,Billing,Low,Resolved,2025-12-29 17:44:46,2025-12-30 18:44:46,25.0,3
T0000224,C000108,E00321,Technical,Medium,Open,2023-02-26 01:22:45,2023-03-07 04:22:45,219.0,5
T0000225,C000108,E00659,Feature Request,High,Open,2022-05-30 11:23:50,2022-06-05 14:23:50,147.0,1
T0000226,C000108,E00346,Bug Report,Medium,Resolved,2023-11-28 01:02:48,2023-11-29 08:02:48,31.0,3
T0000227,C000110,E00943,Account,Low,Resolved,2022-05-17 11:52:38,2022-05-22 22:52:38,131.0,3
T0000228,C000111,E00794,Billing,Medium,Resolved,2020-10-02 01:32:37,2020-10-02 10:32:37,9.0,2
T0000229,C000112,E00951,Account,Medium,Open,2025-09-22 04:22:41,2025-09-23 09:22:41,29.0,1
T0000230,C000115,E00505,Account,Low,Resolved,2022-06-24 10:54:22,2022-06-26 11:54:22,49.0,4
T0000231,C000115,E00792,Bug Report,Medium,Open,2025-09-16 07:51:32,2025-09-18 14:51:32,55.0,3
T0000232,C000116,E00710,Feature Request,Low,Resolved,2024-01-15 07:37:06,2024-01-20 21:37:06,134.0,3
T0000233,C000116,E00505,Performance,Low,Open,2023-12-03 15:52:13,2023-12-03 23:52:13,8.0,3
T0000234,C000116,E00299,Technical,High,Pending,2024-05-31 09:09:23,2024-06-05 15:09:23,126.0,4
T0000235,C000117,E00485,Security,Low,Resolved,2022-12-23 12:42:20,2022-12-31 02:42:20,182.0,1
T0000236,C000117,E00952,Performance,Low,Pending,2025-01-02 23:42:05,2025-01-06 00:42:05,73.0,5
T0000237,C000117,E01283,Performance,High,Resolved,2024-08-19 19:08:42,2024-08-29 13:08:42,234.0,3
T0000238,C000118,E01260,Account,Medium,Resolved,2022-09-01 06:23:36,2022-09-05 16:23:36,106.0,1
T0000239,C000119,E00382,,Low,Resolved,2023-07-03 06:29:12,2023-07-03 08:29:12,2.0,3
T0000240,C000121,E00382,Performance,Medium,Resolved,2025-04-17 18:54:24,2025-04-18 23:54:24,29.0,5
T0000241,C000122,E00799,Feature Request,Medium,Pending,2025-11-15 08:43:44,2025-11-20 19:43:44,131.0,3
T0000242,C000122,E00290,Billing,High,Resolved,2025-10-23 06:10:14,2025-10-29 22:10:14,160.0,5
